"idruta","troncal","ramal"
"0095","Troncal 1","DIRECTO"
"0110","Troncal 1","NANAWA - ASUNCIÓN"
"0111","Troncal 1","NANAWA - ASUNCIÓN"
"0112","Troncal 1","VILLA HAYES - ASUNCION"
"0113","Troncal 1","VILLA HAYES - ASUNCION"
"0114","Troncal 1","PUERTO FALCON - ASUNCIÓN"
"0115","Troncal 1","PUERTO FALCON - ASUNCIÓN"
"001E","Troncal 1","ARTIGAS - LIMPIO"
"001F","Troncal 1","ARTIGAS - LIMPIO"
"0020","Troncal 1","Villa Madrid - Limpio"
"0021","Troncal 1","Villa Madrid - Limpio"
"0022","Troncal 2","AUTOPISTA"
"0023","Troncal 2","AUTOPISTA"
"0024","Troncal 2","IDENTIFICACIONES"
"0025","Troncal 2","IDENTIFICACIONES"
"0026","Troncal 2","CAACUPEMI"
"0027","Troncal 2","CAACUPEMI"
"0028","Troncal 2","MAKA.I"
"0029","Troncal 2","MAKA.I"
"0138","Troncal 1","NVA. ITALIA - IPS"
"0139","Troncal 1","NVA. ITALIA - IPS"
"013A","Troncal 1","NVA. ITALIA - SAN ANTONIO"
"013B","Troncal 1","NVA. ITALIA - SAN ANTONIO"
"0090","Troncal 1","CAPIATA - REPUBLICANO"
"0091","Troncal 1","CAPIATA - REPUBLICANO"
"014C","Troncal 1","VILLA CONSTITUCION (Permiso Excepcional)"
"014D","Troncal 1","VILLA CONSTITUCION (Permiso Excepcional)"
"0001","Troncal 1","2A"
"0002","Troncal 1","2A"
"0003","Troncal 1","2B"
"0004","Troncal 1","2B"
"0005","Troncal 1","CAPILLA DEL MONTE"
"0006","Troncal 1","CAPILLA DEL MONTE"
"0007","Troncal 1","RUTA INACTIVA"
"0008","Troncal 1","UNIVERSO"
"0009","Troncal 1","UNIVERSO"
"000A","Troncal 1","SANTA LIBRADA"
"000B","Troncal 1","SANTA LIBRADA"
"000C","Troncal 1","RINCON DEL PEÑON - PASO CORREO"
"000D","Troncal 1","RINCON DEL PEÑON - PASO CORREO"
"000E","Troncal 1","RINCON DEL PEÑON - PASO CORREO"
"000F","Troncal 1","RINCON DEL PEÑON - PASO CORREO"
"0010","Troncal 1","CONAVI VILLA HUGUITO"
"0011","Troncal 1","CONAVI VILLA HUGUITO"
"019E","Troncal 1","AREGUA - LIMPIO"
"019F","Troncal 1","LIMPIO - AREGUA"
"01A6","Troncal 1","INT. OP. LINEA 207/2y7 - UNIVERSO"
"01A7","Troncal 1","INT. OP. LINEA 207/2y7 - UNIVERSO"
"01A8","Troncal 1","INT. OP. LINEA 207/2y7 - SANTA LIBRADA"
"01A9","Troncal 1","INT. OP. LINEA 207/2y7 - SANTA LIBRADA"
"01AA","Troncal 1","INT. OP. LINEA 207/2y7 - PASO CORREO"
"01AB","Troncal 1","INT. OP. LINEA 207/2y7 - PASO CORREO"
"01AC","Troncal 1","INT. OP. LINEA 207/2y7 - RINCON DEL PEÑON"
"01AD","Troncal 1","INT. OP. LINEA 207/2y7 - RINCON DEL PEÑON"
"01AE","Troncal 1","INT. OP. LINEA 207/2y7 - CONAVI VILLA HUGUITO"
"01AF","Troncal 1","INT. OP. LINEA 207/2y7 - CONAVI VILLA HUGUITO"
"01B0","Troncal 1","TRONCAL LINEA 207/2y7"
"01B1","Troncal 1","TRONCAL LINEA 207/2y7"
"007A","Troncal 1","SUPER 6 - LIMPIO -  VILLA MADRID"
"007B","Troncal 1","SUPER 6 - LIMPIO -  VILLA MADRID"
"007C","Troncal 1","HEROES DEL 70 - LIMPIO"
"007D","Troncal 1","HEROES DEL 70 - LIMPIO"
"007E","Troncal 1","SUPER 6 - LIMPIO -  VILLA MADRID"
"007F","Troncal 1","SUPER 6 - LIMPIO -  VILLA MADRID"
"008C","Troncal 1","PTO. PABLA - ZABALLOS CUE"
"008D","Troncal 1","PTO. PABLA - ZABALLOS CUE"
"008E","Troncal 1","PTO. PABLA - MERCADO 4"
"008F","Troncal 1","PTO. PABLA - MERCADO 4"
"0194","Troncal 1","BARRIO SAN BLAS"
"0195","Troncal 1","BARRIO SAN BLAS"
"0080","Troncal 2","SAN ISIDRO - PIQUETE CUE"
"0081","Troncal 2","SAN ISIDRO - PIQUETE CUE"
"0082","Troncal 2","SAN ISIDRO - SALADO"
"0083","Troncal 2","SAN ISIDRO - SALADO"
"0084","Troncal 2","SAN ISIDRO - COLONIA"
"0085","Troncal 2","SAN ISIDRO - COLONIA"
"0086","Troncal 2","SAN ISIDRO - DON BOSCO"
"0087","Troncal 2","SAN ISIDRO - DON BOSCO"
"009C","Troncal 1","AZUL DIRECTO"
"009D","Troncal 1","AZUL DIRECTO"
"009E","Troncal 1","AZUL AEROPUERTO"
"009F","Troncal 1","AZUL AEROPUERTO"
"00A2","Troncal 1","AMARILLO 3 DE MAYO"
"00A3","Troncal 1","AMARILLO 3 DE MAYO"
"00A4","Troncal 1","AMARILLO SAN RAFAEL"
"00A5","Troncal 1","AMARILLO SAN RAFAEL"
"00AA","Troncal 1","RUTA INACTIVA"
"00AB","Troncal 1","RUTA INACTIVA"
"019C","Troncal 1","INTEGRACIÓN AZUL - AMARILLO"
"019D","Troncal 1","INTEGRACIÓN AZUL - AMARILLO"
"00A0","Troncal 2","ROJO PALMA LOMA"
"00A1","Troncal 2","ROJO PALMA LOMA"
"00A6","Troncal 2","VERDE DIRECTO"
"00A7","Troncal 2","VERDE DIRECTO"
"00A8","Troncal 2","VERDE AEROPUERTO"
"00A9","Troncal 2","VERDE AEROPUERTO"
"019A","Troncal 2","INTEGRACIÓN LOMA MERLO - VERDE"
"019B","Troncal 2","INTEGRACIÓN LOMA MERLO - VERDE"
"00D6","Ramal aislado","MRA - ARTIGAS -  MARIANO INTEGRACION"
"00D7","Ramal aislado","MRA - ARTIGAS -  MARIANO INTEGRACION"
"00D8","Ramal aislado","COLONIA - AUTOPISTA"
"00D9","Ramal aislado","COLONIA - AUTOPISTA"
"015E","Ramal aislado","MRA - ARTIGAS -  MARIANO INTEGRACION"
"015F","Ramal aislado","MRA - ARTIGAS -  MARIANO INTEGRACION"
"00DA","Troncal 1","SALADO - ABASTO"
"00DB","Troncal 1","SALADO - ABASTO"
"00DC","Troncal 1","VILLA JARDIN - ABASTO - LIMPIO INTEGRACIÓN"
"00DD","Troncal 1","VILLA JARDIN - ABASTO - LIMPIO INTEGRACIÓN"
"0164","Troncal 1","VILLA JARDIN - ABASTO - LIMPIO INTEGRACIÓN"
"0165","Troncal 1","VILLA JARDIN - ABASTO - LIMPIO INTEGRACIÓN"
"01B9","Troncal 1","MRA - ARTIGAS -  MARIANO INTEGRACION"
"01BA","Troncal 1","MRA - ARTIGAS -  MARIANO INTEGRACION"
"01BB","Troncal 1","MRA - ARTIGAS -  MARIANO INTEGRACION"
"01BC","Troncal 1","MRA - ARTIGAS -  MARIANO INTEGRACION"
"0140","Troncal 1","YPACARAI - TOA"
"0141","Troncal 1","YPACARAI - TOA"
