EPS,Lineas,EmpresaAfiliada,NoBus,IDValidador,idsam
EPAS S.A.,28,Gral. Aquino S.R.L,41,1903180273,04303022B95A80
EPAS S.A.,28,Gral. Aquino S.R.L,42,1903180252,04302B22B95A80
EPAS S.A.,28,Gral. Aquino S.R.L,43,1903180280,04302922B95A80
EPAS S.A.,28,Gral. Aquino S.R.L,44,1903180042,04333122B95A80
EPAS S.A.,28,Gral. Aquino S.R.L,46,1903180091,04302F22B95A80
EPAS S.A.,28,Gral. Aquino S.R.L,47,1903180299,04303122B95A80
EPAS S.A.,28,Gral. Aquino S.R.L,52,1903180281,04302D22B95A80
EPAS S.A.,28,Gral. Aquino S.R.L,54,1903180266,04303322B95A80
EPAS S.A.,28,Gral. Aquino S.R.L,55,1903180072,04302A22B95A80
EPAS S.A.,49,La Limpeña S.R.L,"1,801",1903180070,04352A22B95A80
EPAS S.A.,49,La Limpeña S.R.L,"1,604",1903180269,04352C22B95A80
EPAS S.A.,49,La Limpeña S.R.L,"1,605",1903180059,04353D22B95A80
EPAS S.A.,49,La Limpeña S.R.L,"1,806",1903180282,04352922B95A80
EPAS S.A.,49,La Limpeña S.R.L,"1,821",1903180038,04352E22B95A80
EPAS S.A.,49,La Limpeña S.R.L,"1,923",1903180003,04353722B95A80
EPAS S.A.,49,La Limpeña S.R.L,"1,525",1903180112,04323322B95A80
EPAS S.A.,49,La Limpeña S.R.L,"1,831",1903180017,04352822B95A80
EPAS S.A.,49,La Limpeña S.R.L,"1,934",1903180022,04353322B95A80
EPAS S.A.,49,La Limpeña S.R.L,"1,653",1903180015,04352B22B95A80
EPAS S.A.,49,La Limpeña S.R.L,"1,954",1903180024,04363B22B95A80
EPAS S.A.,49,La Limpeña S.R.L,"1,959",1903180051,04353022B95A80
EPAS S.A.,49,La Limpeña S.R.L,"2,060",1903180284,04352F22B95A80
EPAS S.A.,49,La Limpeña S.R.L,"1,571",1903180087,04353A22B95A80
EPAS S.A.,49,La Limpeña S.R.L,"1,672",1903180063,04353222B95A80
EPAS S.A.,49,La Limpeña S.R.L,"1,574",1903180119,04352222B95A80
EPAS S.A.,49,La Limpeña S.R.L,"1,575",1903180130,04352022B95A80
EPAS S.A.,49,La Limpeña S.R.L,"1,684",1903180074,04170BDA955D80
EPAS S.A.,49,La Limpeña S.R.L,"1,585",1903180129,04351D22B95A80
EPAS S.A.,49,La Limpeña S.R.L,"1,594",1903180036,04353122B95A80
EPAS S.A.,49,La Limpeña S.R.L,"1,595",1903180064,04353E22B95A80
EPAS S.A.,49,La Limpeña S.R.L,"20,100",1903180040,04352D22B95A80
EPAS S.A.,34,Ciudad de Limpio S.R.L,4,1903180012,04303D22B95A80
EPAS S.A.,34,Ciudad de Limpio S.R.L,5,1903180246,04303C22B95A80
EPAS S.A.,34,Ciudad de Limpio S.R.L,6,1903180278,04303822B95A80
EPAS S.A.,34,Ciudad de Limpio S.R.L,14,1903180166,04331522B95A80
EPAS S.A.,34,Ciudad de Limpio S.R.L,18,1903180160,04331822B95A80
EPAS S.A.,34,Ciudad de Limpio S.R.L,20,1903180175,04331722B95A80
EPAS S.A.,34,Ciudad de Limpio S.R.L,26,1903180110,04323722B95A80
EPAS S.A.,34,Ciudad de Limpio S.R.L,29,1903180174,04331F22B95A80
EPAS S.A.,34,Ciudad de Limpio S.R.L,30,1903180239,verificar
EPAS S.A.,34,Ciudad de Limpio S.R.L,33,1903180004,04303A22B95A80
EPAS S.A.,34,Ciudad de Limpio S.R.L,45,1903180180,04331922B95A80
EPAS S.A.,34,Ciudad de Limpio S.R.L,46,1903180187,04331622B95A80
EPAS S.A.,34,Ciudad de Limpio S.R.L,1810,1903180011,04303222B95A80
EPAS S.A.,34,Ciudad de Limpio S.R.L,1815,1903180031,04303B22B95A80
EPAS S.A.,34,Ciudad de Limpio S.R.L,1823,1903180154,04331D22B95A80
EPAS S.A.,34,Ciudad de Limpio S.R.L,1832,1903180177,04332022B95A80
EPAS S.A.,34,Ciudad de Limpio S.R.L,1842,1903180249,04331422B95A80
EPAS S.A.,34,Ciudad de Limpio S.R.L,1844,1903180185,04331B22B95A80
EPAS S.A.,110,Cerro Koi S.A.,26,1903180095,04301422B95A80
EPAS S.A.,110,Cerro Koi S.A.,27,1903180197,04322D22B95A80
EPAS S.A.,110,Cerro Koi S.A.,28,1903180161,042F2D22B95A80
EPAS S.A.,110,Cerro Koi S.A.,29,1903180213,042F3522B95A80
EPAS S.A.,110,Cerro Koi S.A.,"1,730",1903180155,042F3622B95A80
EPAS S.A.,110,Cerro Koi S.A.,32,1903180234,042F3322B95A80
EPAS S.A.,110,Cerro Koi S.A.,39,1903180202,04301022B95A80
EPAS S.A.,110,Cerro Koi S.A.,37,1903180158,042F3922B95A80
EPAS S.A.,110,Cerro Koi S.A.,34,1903180068,04302222B95A80
EPAS S.A.,110,Cerro Koi S.A.,49,1903180168,04322D22B95A80
EPAS S.A.,165,ÑANDUTI S.R.L,100,1903180120,04362522B95A80
EPAS S.A.,165,ÑANDUTI S.R.L,101,1903180127,04323D22B95A80
EPAS S.A.,165,ÑANDUTI S.R.L,102,1903180247,04320922B95A80
EPAS S.A.,165,ÑANDUTI S.R.L,103,1903180141,04314222B95A80
EPAS S.A.,165,ÑANDUTI S.R.L,104,1903180131,04323E22B95A80
EPAS S.A.,165,ÑANDUTI S.R.L,105,1903180137,04323C22B95A80
EPAS S.A.,165,ÑANDUTI S.R.L,106,1903180132,04323F22B95A80
EPAS S.A.,165,ÑANDUTI S.R.L,107,1903180228,04330922B95A80
EPAS S.A.,165,ÑANDUTI S.R.L,109,1903180142,04324122B95A80
EPAS S.A.,165,ÑANDUTI S.R.L,110,1903180136,04362822B95A80
EPAS S.A.,165,ÑANDUTI S.R.L,108,1903180018,04302622B95A80
EPAS S.A.,454,3 DE FEBRERO S.A,51,1903180211,04301A22B95A80
EPAS S.A.,454,3 DE FEBRERO S.A,53,1903180050,04301722B95A80
EPAS S.A.,454,3 DE FEBRERO S.A,54,1903180058,043015522B95A80
EPAS S.A.,454,3 DE FEBRERO S.A,55,1903180283,043018022B95A80
EPAS S.A.,454,3 DE FEBRERO S.A,56,1903180080,04301622B95A80
EPAS S.A.,454,3 DE FEBRERO S.A,57,1903180007,04300E22B95A80
EPAS S.A.,454,3 DE FEBRERO S.A,58,1903180049,043301222B95A80
EPAS S.A.,96,ALDANA S.A.,8,1903180276,04363F22B95A80
EPAS S.A.,96,ALDANA S.A.,23,1903180179,042F3422B95A80
EPAS S.A.,96,ALDANA S.A.,37,1903180083,04301122B95A80
EPAS S.A.,96,ALDANA S.A.,"1,611",1903180298,04301922B95A80
EPAS S.A.,96,ALDANA S.A.,"1,612",1903180093,04363722B95A80
EPAS S.A.,96,ALDANA S.A.,"1,613",1903190034,04363A22B95A80
EPAS S.A.,96,ALDANA S.A.,"1,702",1903180073,04363822B95A80
EPAS S.A.,96,ALDANA S.A.,"1,714",1903180039,04300F22B95A80
EPAS S.A.,96,ALDANA S.A.,"1,727",1903180106,04323422B95A80
EPAS S.A.,96,ALDANA S.A.,"1,733",1903180251,04363922B95A80
EPAS S.A.,96,ALDANA S.A.,"1,836",1903180212,04331122B95A80
EPAS S.A.,96,ALDANA S.A.,"1,847",1903180100,04363622B95A80
EPAS S.A.,96,ALDANA S.A.,"1,848",1903180128,04362622B95A80
EPAS S.A.,96,ALDANA S.A.,"1,920",1903180157,042F3222B95A80
EPAS S.A.,55,INTER S.A,112,1903180199,04330B22B95A80
EPAS S.A.,55,INTER S.A,111,1903180071,042F3122B95A80
EPAS S.A.,55,INTER S.A,114,1811050250,04340CD2955D80
EPAS S.A.,55,INTER S.A,101,1903180285,042F3A22B95A80
